Item,Est Market Value,Notes,Priority,Status
KitchenAid Stand Mixer,$150-300,Big old-style mixer in good condition. Classic models (especially Artisan/Professional) hold value extremely well. Check model on bottom.,High - Sell Now,Research
Ariel Rider 52V Battery (Grizzly) - Battery 2,$350-500,"From Grizzly e-bike. Holds full charge, only used a few months. High-capacity premium battery (~20-30Ah). These retail $600-800 new.",High - Sell Now,Research
Ariel Rider 52V Battery (Grizzly) - Battery 1,$350-500,"From Grizzly e-bike. Holds full charge, only used a few months. High-capacity premium battery (~20-30Ah). These retail $600-800 new.",High - Sell Now,Research
Rad Power 48V Battery (Cargo Bike),$350-500,"Spare battery, NEVER USED. For Rad Power cargo bike. Probably 14-20Ah. Retails $500-700 new.",High - Sell Now,Research
Boss RC-505 Loop Station,$250-350,"Professional loop pedal, popular with beatboxers/live performers. Check condition.",High - Sell Now,Research
Pro-Ject Turntable,$150-300 (model dependent),"Don't love it, will take records and get new turntable.",High - Sell Now,Research
TP-Link Deco Mesh Router Sets (4-5),$50-200 per set,Multiple generations including X65. Need to inventory which models still have. Mesh routers sell well.,High - Sell Now,Research
Cricut Maker 3 + Supplies,$200-300 (+ supplies),"Cutting machine with tons of supplies. Machine is current gen, holds value well.",High - Sell Now,Research
Ableton Push 2,$300-450,Might be worth selling. Check if Gen 2 or 3. Popular controller.,High - Sell Now,Research
Vitamix Blender,$150-300 (model dependent),"Premium blender, holds value well. 5200 model is classic workhorse. Excellent condition can fetch higher prices.",High - Sell Now,Research
LG Dual Inverter Window AC (giant),$250-450 (depending on BTU),"Premium dual inverter tech, holds value well. Size will determine price - likely 14k-23k BTU range.",High - Sell Now,Research
Beam Gen 2,$240-370,"Gen 2 with Dolby Atmos. Higher value than Gen 1, should move fast.",High - Sell Now,Research
Sub Mini,$340-430,"Retail $429, good resale value. Totally redundant with your main Sub.",High - Sell Now,Research
Beam Gen 1,$170-250,"Original Beam, solid secondary market. Easy sell.",High - Sell Now,Research
Grizzly Dual Hub Motors,$200-400 (if removed),Dual hubs from Ariel Rider Grizzly (~750W each = 1500W total). Pain to remove but potentially valuable. Decide if worth the effort.,Medium,Research
Looptimus MIDI Pedal,$100-150,MIDI foot controller for Boss loop stations. Niche but desired by loop performers.,Medium,Research
Boss DR-202 Drum Machine,$100-200,Classic Boss groovebox from late 90s. Cult following.,Medium,Research
Bachetta Giro Recumbent Bike,$300-500 (after minor refurb),"Decent condition, not ridden in 15 years. Needs new tires, tubes, chain. Bachetta is quality brand.",Medium,Research
DeLonghi Espresso Maker,$50-200 (model dependent),"Check model - some DeLonghi machines hold value, others don't.",Medium,Research
Stanton STR8-100 DJ Turntable (1996),$100-200 (if working),One of first DJ turntables from 1996. Unknown if it turns on. Vintage/collectible potential if working.,Medium,Research
Phish Baker's Dozen Donut Poster - Jim Pollock,$350-450,#200s/1300. Official Jim Pollock from legendary 13-night MSG run 2017. Professionally framed with museum glass.,Medium,Research
Phish Curveball Poster - Jim Pollock,$250-350,"#550/1500. Official Jim Pollock, cancelled festival 2018. Professionally framed with museum glass. Significant emotional weight - trip to NOLA pivot.",Medium,Research
Sodastream,$20-60,"Basic used market, easy to move on FB Marketplace or Craigslist. Include any extra CO2 canisters you have.",Medium,Research
One SL,$130-180,"Decent value, Era 100s make this obsolete for you.",Medium,Research
Five,$325-400,Debate this one - beautiful for music but Era 100s + Sub might be enough. Holds value well if you want to rebuy later.,Medium,Research
NOCO Genius Battery Charger/Maintainer (Extra 2),$30-70,"Smart charger for LiPo/car batteries. NOCO Genius models hold value. Check which model (G3500, G7200, etc).",Low - Maybe Keep,Research
NOCO Genius Battery Charger/Maintainer (Extra 1),$30-70,"Smart charger for LiPo/car batteries. NOCO Genius models hold value. Check which model (G3500, G7200, etc).",Low - Maybe Keep,Research
Sunny Exercise Bike,$50-100,Basic stationary bike. Low value but easy sell.,Low - Maybe Keep,Research
Phish Food Not Bombs Print - Jim Pollock,$200-300,"#111/750. 2002 political piece, hemp paper, hand-carved linocut (26x15.5""). Professionally framed with museum glass. Sold out since 2003.",Low - Maybe Keep,Research
Phish Deer Creek Poster (year unknown),$75-125,#210/900. Artist unknown. Professionally framed with museum glass.,Low - Maybe Keep,Research
Phish Cincinnati 2009 Poster - Dan Grzeca,$150-250,"#291. Fall 2009, professionally framed with museum glass.",Low - Maybe Keep,Research
Phish Deer Creek 2004 Poster,$75-150,#600/1000. Likely Scott Campbell. Professionally framed with museum glass.,Low - Maybe Keep,Research
Small crappy window ACs,$0 - Free,Free to anyone who wants them. Post on Buy Nothing / Craigslist 'curb alert' if no takers.,Low - Maybe Keep,List It
Original Sub (Gen 1),N/A - Keeping,"Main sub. Powerful, works great. Keeping for now.",Low - Maybe Keep,Keep
Original Ones (rear surrounds),$50-100 ea,"Hard to get working, but not worth much and useful for rear surround later if needed.",Low - Maybe Keep,Keep
2x Era 100,N/A - Keeping,"Modern, line-in capable, great for studio apartment. Core keepers.",Low - Maybe Keep,Keep
Play:3,$70-175,"Old tech, spotty market. Might not be worth the hassle to sell vs donate/keep as backup.",Low - Maybe Keep,Research